ສະບາຍດີ,ສະບາຍດີ ມີຫຍັງໃຫ້ຊ່ວຍບໍ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີການໄປທັດສະນະສຶກສາບໍ,ການໄປທັດສະນະສຶກສາໃນທຸກສາຂາຂອງຫຼັກສູດປະລິນຍາຕີ ແມ່ນຈະຕ້ອງຜ່ານການຢັ້ງຢືນຈາກຄະນະວິຊາ ແລະ ຄ່າໃຊ້ຈ່າຍໃນການໄປທັດສະນະສຶກສານັກສຶກສາຈະຕ້ອງຮັບຜິດຊອບເອງ
ຫຼັກສູດປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີຫຼັກສູດນາໆຊາດບໍ,ປັດຈຸບັນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີຍັງບໍ່ທັນມີຫຼັກສູດນາໆຊາດເທື່ອ
ສາຂາວິທະຍາສາດຄອມພິວເຕີມີຫຼັກສູດນາໆຊາດບໍ,ປັດຈຸບັນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີຍັງບໍ່ທັນມີຫຼັກສູດນາໆຊາດເທື່ອ
ຫຼັກສູດປະລິນຍາຕີມີຫຼັກສູດນາໆຊາດບໍ,ປັດຈຸບັນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີຍັງບໍ່ທັນມີຫຼັກສູດນາໆຊາດເທື່ອ
ຊື່ຫຼັກສູດພາສາລາວຂອງຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນຫຍັງ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ວິທະຍາສາດ ສາຂາ ວິທະຍາສາດຄອມພິວເຕີ
ຊື່ຫຼັກສູດພາສາອັງກິດຂອງຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີແມ່ນຫຍັງ,Continuing Education Program to Bachelor of Science in Computer science
ຊື່ຫຼັກສູດພາສາລາວຂອງຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີແມ່ນຫຍັງ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ວິທະຍາສາດ ສາຂາ ວິທະຍາສາດຄອມພິວເຕີ
ຊື່ຫຼັກສູດພາສາອັງກິດຂອງຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີແມ່ນຫຍັງ,Continuing Education Program to Bachelor of Science in Computer science
ສາຂາວິທະຍາສາດຄອມພິວເຕີມີຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີບໍ,"ໂດຍ, ສາຂາວິທະຍາສາດຄອມພິວເຕີ ຫຼັກສູດປະລິນຍາຕີຕໍ່ເນື່ອງ ປະກອບມີ 1 ສາຂາຮຽນຄື: ສາຂາວິທະຍາສາດຄອມພິວເຕີ"
ຈົບຊັ້ນສູງແລ້ວຢາກໄປຮຽນຕໍ່ຫຼັກສູດປະລິນຍາຕີຢູ່ພາກວິຊາວິທະຍາສາດຄອມພິວເຕີໄດ້ບໍ,"ໂດຍ, ໄດ້ເພາະວ່າພາກວິຊາວິທະຍາສາດຄອມພິວເຕີມີຫຼັກສູດປະລິນຍາຕີຕໍ່ເນື່ອງ ສາຂາວິທະຍາສາດຄອມພິວເຕີຢູ່"
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນຈັກປີ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ໃຊ້ເວລາຮຽນຢູ່ 2 ປີ ຫຼື 4 ພາກຮຽນ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີຮຽນຈັກປີ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ໃຊ້ເວລາຮຽນຢູ່ 2 ປີ ຫຼື 4 ພາກຮຽນ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຖ້າຮຽນບໍ່ຈົບສາມາດຮຽນຕໍ່ໄດ້ອີກຈັກປີ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ໃນກໍລະນີທີ່ບໍ່ສາມາດຮຽນຈົບໄດ້ຕາມເວລາທີ່ກຳນົດ ສາມາດຮຽນຕໍ່ໄດ້ອີກບໍ່ເກີນ 1 ປີ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີຖ້າຮຽນບໍ່ຈົບສາມາດຮຽນຕໍ່ໄດ້ອີກຈັກປີ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ໃນກໍລະນີທີ່ບໍ່ສາມາດຮຽນຈົບໄດ້ຕາມເວລາທີ່ກຳນົດ ສາມາດຮຽນຕໍ່ໄດ້ອີກບໍ່ເກີນ 1 ປີ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີຮຽນມື້ໃດຫາມື້ໃດ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນຮຽນແຕ່ ວັນຈັນ ຫາ ວັນສຸກ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນມື້ໃດຫາມື້ໃດ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນຮຽນແຕ່ ວັນຈັນ ຫາ ວັນສຸກ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນຈັກມື້,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນອາທິດໜຶ່ງໄດ້ຮຽນ 5 ມື້
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີຮຽນຈັກມື້,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນອາທິດໜຶ່ງໄດ້ຮຽນ 5 ມື້
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຮຽນຈັກໂມງຫາຈັກໂມງ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນຮຽນຕອນເຊົ້າແຕ່ 8.00 ໂມງ ຫາ 11.45 ໂມງ ແລະ ຕອນບ່າຍແຕ່ 13.00 ໂມງ ຫາ 16.45 ໂມງ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີຮຽນຈັກໂມງຫາຈັກໂມງ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນຮຽນຕອນເຊົ້າແຕ່ 8.00 ໂມງ ຫາ 11.45 ໂມງ ແລະ ຕອນບ່າຍແຕ່ 13.00 ໂມງ ຫາ 16.45 ໂມງ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີຮຽນວັນເສົາ-ອາທິດບໍ,ອີງຕາມທາງພາກວິຊາໄດ້ວາງໄວ້ ຕອນນີ້ຍັງບໍ່ມີຮຽນວັນເສົາ-ອາທິດເທື່ອ ສຳລັບຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີຮຽນແຕ່ວັນຈັນ ຫາ ວັນສຸກ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີມີຮຽນວັນເສົາ-ອາທິດບໍ,ອີງຕາມທາງພາກວິຊາໄດ້ວາງໄວ້ ຕອນນີ້ຍັງບໍ່ມີຮຽນວັນເສົາ-ອາທິດເທື່ອ ສຳລັບຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ແມ່ນມີຮຽນແຕ່ວັນຈັນ ຫາ ວັນສຸກ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີການໄປທັດສະນະສຶກສາບໍ,ຫຼັກສູດນີ້ມີການຈັດຕັ້ງໄປທັດສະນະສຶກສາ 1 ຄັ້ງ ແລະ ຄ່າໃຊ້ຈ່າຍໃນການໄປທັດສະນະສຶກສານັກສຶກສາຈະຕ້ອງຮັບຜິດຊອບເອງ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີມີການໄປທັດສະນະສຶກສາບໍ,ຫຼັກສູດນີ້ມີການຈັດຕັ້ງໄປທັດສະນະສຶກສາ 1 ຄັ້ງ ແລະ ຄ່າໃຊ້ຈ່າຍໃນການໄປທັດສະນະສຶກສານັກສຶກສາຈະຕ້ອງຮັບຜິດຊອບເອງ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີໝວດວິຊາຄວາມຮູ້ທົ່ວໄປຈັກໜ່ວຍກິດ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີໝວດວິຊາຄວາມຮູ້ທົ່ວໄປ 8 ໜ່ວຍກິດ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີມີໝວດວິຊາຄວາມຮູ້ທົ່ວໄປຈັກໜ່ວຍກິດ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີໝວດວິຊາຄວາມຮູ້ທົ່ວໄປ 8 ໜ່ວຍກິດ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີໝວດວິຊາພື້ນຖານວິຊາສະເພາະຈັກໜ່ວຍກິດ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີໝວດວິຊາພື້ນຖານວິຊາສະເພາະ 17 ໜ່ວຍກິດ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີມີໝວດວິຊາພື້ນຖານວິຊາສະເພາະຈັກໜ່ວຍກິດ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີໝວດວິຊາພື້ນຖານວິຊາສະເພາະ 17 ໜ່ວຍກິດ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີໝວດວິຊາສະເພາະຈັກໜ່ວຍກິດ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີໝວດວິຊາສະເພາະ 37 ໜ່ວຍກິດ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີມີໝວດວິຊາສະເພາະຈັກໜ່ວຍກິດ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີໝວດວິຊາສະເພາະ 37 ໜ່ວຍກິດ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີໝວດວິຊາເລືອກຈັກໜ່ວຍກິດ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີໝວດວິຊາເລືອກ 2 ໜ່ວຍກິດ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີມີໝວດວິຊາເລືອກຈັກໜ່ວຍກິດ,ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ສາຂາວິທະຍາສາດຄອມພິວເຕີ ມີໝວດວິຊາເລືອກ 2 ໜ່ວຍກິດ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີມີຫຼັກສູດນາໆຊາດບໍ,ປັດຈຸບັນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີຍັງບໍ່ທັນມີຫຼັກສູດນາໆຊາດເທື່ອ
ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີມີຫຼັກສູດນາໆຊາດບໍ,ປັດຈຸບັນພາກວິຊາວິທະຍາສາດຄອມພິວເຕີຍັງບໍ່ທັນມີຫຼັກສູດນາໆຊາດເທື່ອ
ຖ້າຈະຮຽນຕໍ່ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີສາຂາວິທະຍາສາດຄອມພິວເຕີຕ້ອງມີເງື່ອນໄຂໃດແດ່,"ຜູ້ທີ່ຈະເຂົ້າສຶກສາຕໍ່ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ຕ້ອງແມ່ນຜູ້ສຳເລັດການສຶກສາລະດັບອະນຸປະລິນຍາ ຫຼື ທຽບເທົ່າໃນສາຂາວິຊາສະເພາະດຽວກັນ ແລະ ສຳລັບນັກສຶກສາຈົບໃໝ່ຕ້ອງມີຄະແນນ CGPA= 3.00 ຂຶ້ນໄປ, ຖ້າເປັນພະນັກງານຕ້ອງມີຄະແນນ CGPA=2.00 ຂຶ້ນໄປ ແຕ່ຕ້ອງໄດ້ຜ່ານການປະຕິບັດວຽກງານມາກ່ອນ 2 ປີຂຶ້ນໄປ"
ຖ້າຈະຮຽນຕໍ່ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີຕ້ອງມີເງື່ອນໄຂໃດແດ່,"ຜູ້ທີ່ຈະເຂົ້າສຶກສາຕໍ່ຫຼັກສູດຕໍ່ເນື່ອງປະລິນຍາຕີ ຕ້ອງແມ່ນຜູ້ສຳເລັດການສຶກສາລະດັບອະນຸປະລິນຍາ ຫຼື ທຽບເທົ່າໃນສາຂາວິຊາສະເພາະດຽວກັນ ແລະ ສຳລັບນັກສຶກສາຈົບໃໝ່ຕ້ອງມີຄະແນນ CGPA= 3.00 ຂຶ້ນໄປ, ຖ້າເປັນພະນັກງານຕ້ອງມີຄະແນນ CGPA=2.00 ຂຶ້ນໄປ ແຕ່ຕ້ອງໄດ້ຜ່ານການປະຕິບັດວຽກງານມາກ່ອນ 2 ປີຂຶ້ນໄປ"
